fecha,ipim
2016-02-01,132.574925171837
2016-03-01,131.830159142061
2016-04-01,130.943483526106
2016-05-01,129.973774220543
2016-06-01,128.991892751158
2016-07-01,128.137405102273
2016-08-01,127.583124842583
2016-09-01,127.40874671785
2016-10-01,127.534744037236
2016-11-01,127.857913393652
2016-12-01,128.232811025953
2017-01-01,128.594941287523
2017-02-01,128.964737668537
2017-03-01,129.42155040559
2017-04-01,130.049907913588
2017-05-01,130.88507507567
2017-06-01,131.908554132779
2017-07-01,133.036560104732
2017-08-01,134.095890579383
2017-09-01,134.92827154154
2017-10-01,135.441815590413
2017-11-01,135.613291768877
2017-12-01,135.48230364241
2018-01-01,135.108520642675
2018-02-01,134.525912761017
2018-03-01,133.734759137805
2018-04-01,132.704557843059
2018-05-01,131.383893623157
2018-06-01,129.738456050666
2018-07-01,127.782933687264
2018-08-01,125.62877455971
2018-09-01,123.42141517397
2018-10-01,121.35778280554
2018-11-01,119.661731640963
2018-12-01,118.524927161579
2019-01-01,118.032249766671
2019-02-01,118.119528382643
2019-03-01,118.594234081435
2019-04-01,119.185895201467
2019-05-01,119.629545765662
2019-06-01,119.766667634947
2019-07-01,119.556925533882
2019-08-01,119.042086208212
2019-09-01,118.288075884318
2019-10-01,117.32552393759
2019-11-01,116.096366437843
2019-12-01,114.523054673841
2020-01-01,112.560759482003
2020-02-01,110.307221509959
2020-03-01,108.01272428123
2020-04-01,106.057415626547
2020-05-01,104.875006810033
2020-06-01,104.762361623563
2020-07-01,105.794949490371
2020-08-01,107.840704882151
2020-09-01,110.587056933134
2020-10-01,113.615079877861
2020-11-01,116.554723579637
2020-12-01,119.139036887595
2021-01-01,121.22889584785
2021-02-01,122.822569601329
2021-03-01,124.001923891379
2021-04-01,124.857136858814
2021-05-01,125.433023553457
2021-06-01,125.773204782897
2021-07-01,125.954476289605
2021-08-01,126.06367702467
2021-09-01,126.217959508339
2021-10-01,126.560709145185
2021-11-01,127.176597524979
2021-12-01,128.071604408165
2022-01-01,129.208290408079
2022-02-01,130.464132455467
2022-03-01,131.694830101311
2022-04-01,132.763752783455
2022-05-01,133.540856843673
2022-06-01,133.915265824356
2022-07-01,133.822377508029
2022-08-01,133.30610085279
2022-09-01,132.539773129025
2022-10-01,131.77087467635
2022-11-01,131.250791076671
2022-12-01,131.1522198604
2023-01-01,131.487996161599
2023-02-01,132.13244456819
2023-03-01,132.854195525105
2023-04-01,133.391458800721
2023-05-01,133.533580052257
2023-06-01,133.159341264893
2023-07-01,132.261229687279
2023-08-01,130.890974732657
2023-09-01,129.11153479052
2023-10-01,126.987013356979
2023-11-01,124.583449602881
2023-12-01,122.002822873897
2024-01-01,119.401912394277
2024-02-01,116.98893904748
2024-03-01,115.004000252564
2024-04-01,113.672142116092
2024-05-01,113.131875356872
2024-06-01,113.397334419713
2024-07-01,114.338384015974
2024-08-01,115.729521476341
2024-09-01,117.293028235524
2024-10-01,118.76950995018
2024-11-01,119.986757437596
2024-12-01,120.862189645183
2025-01-01,121.388838875312
2025-02-01,121.622977650997
2025-03-01,121.612223472239
2025-04-01,121.372641454781
2025-05-01,120.925466035879
2025-06-01,120.289858040218
2025-07-01,119.492952077179
2025-08-01,118.595091392274
2025-09-01,117.698294336683
2025-10-01,116.913989802892
2025-11-01,116.343826827553
2025-12-01,116.061130556544
2026-01-01,116.060010905267
2026-02-01,116.235556329792
2026-03-01,116.435466525066
